date,base,currency,rate
2024-01-16,EUR,GBP,0.86078
2024-01-16,EUR,HKD,8.516
2024-01-16,EUR,HUF,379.36
2024-01-16,EUR,IDR,16986.0
2024-01-16,EUR,ILS,4.0985
2024-01-16,EUR,INR,90.42
2024-01-16,EUR,ISK,149.3
2024-01-16,EUR,JPY,159.64
2024-01-16,EUR,KRW,1454.92
2024-01-16,EUR,MXN,18.539
2024-01-16,EUR,MYR,5.1058
2024-01-16,EUR,NOK,11.3335
2024-01-16,EUR,NZD,1.7681
2024-01-16,EUR,PHP,60.939
2024-01-16,EUR,PLN,4.387
2024-01-16,EUR,RON,4.9763
2024-01-16,EUR,SEK,11.3215
2024-01-16,EUR,SGD,1.4589
2024-01-16,EUR,THB,38.522
2024-01-16,EUR,TRY,32.762
2024-01-16,EUR,USD,1.0882
2024-01-16,EUR,ZAR,20.553
2024-01-17,EUR,AUD,1.6592
2024-01-17,EUR,BGN,1.9558
2024-01-17,EUR,BRL,5.3673
2024-01-17,EUR,CAD,1.4701
2024-01-17,EUR,CHF,0.9406
2024-01-17,EUR,CNY,7.8262
2024-01-17,EUR,CZK,24.755
2024-01-17,EUR,DKK,7.4586
2024-01-17,EUR,GBP,0.85818
2024-01-17,EUR,HKD,8.511
2024-01-17,EUR,HUF,380.86
2024-01-17,EUR,IDR,17001.0
2024-01-17,EUR,ILS,4.1149
2024-01-17,EUR,INR,90.43
2024-01-17,EUR,ISK,149.5
2024-01-17,EUR,JPY,160.65
2024-01-17,EUR,KRW,1463.11
2024-01-17,EUR,MXN,18.8054
2024-01-17,EUR,MYR,5.1312
2024-01-17,EUR,NOK,11.4335
2024-01-17,EUR,NZD,1.7779
2024-01-17,EUR,PHP,60.819
2024-01-17,EUR,PLN,4.3993
2024-01-17,EUR,RON,4.9755
2024-01-17,EUR,SEK,11.3925
2024-01-17,EUR,SGD,1.4615
2024-01-17,EUR,THB,38.624
2024-01-17,EUR,TRY,32.78
2024-01-17,EUR,USD,1.0877
2024-01-17,EUR,ZAR,20.733
2024-01-18,EUR,AUD,1.6579
2024-01-18,EUR,BGN,1.9558
2024-01-18,EUR,BRL,5.3551
2024-01-18,EUR,CAD,1.4681
2024-01-18,EUR,CHF,0.9432
2024-01-18,EUR,CNY,7.8231
2024-01-18,EUR,CZK,24.734
2024-01-18,EUR,DKK,7.4571
2024-01-18,EUR,GBP,0.85773
2024-01-18,EUR,HKD,8.5062
2024-01-18,EUR,HUF,382.0
2024-01-18,EUR,IDR,16976.0
2024-01-18,EUR,ILS,4.0972
2024-01-18,EUR,INR,90.43
2024-01-18,EUR,ISK,149.5
2024-01-18,EUR,JPY,160.89
2024-01-18,EUR,KRW,1455.8
2024-01-18,EUR,MXN,18.686
2024-01-18,EUR,MYR,5.1308
2024-01-18,EUR,NOK,11.446
2024-01-18,EUR,NZD,1.7802
2024-01-18,EUR,PHP,60.726
2024-01-18,EUR,PLN,4.399
2024-01-18,EUR,RON,4.9772
2024-01-18,EUR,SEK,11.364
2024-01-18,EUR,SGD,1.4619
2024-01-18,EUR,THB,38.71
2024-01-18,EUR,TRY,32.786
2024-01-18,EUR,USD,1.0875
2024-01-18,EUR,ZAR,20.597
2024-01-19,EUR,AUD,1.65
2024-01-19,EUR,BGN,1.9558
2024-01-19,EUR,BRL,5.3444
2024-01-19,EUR,CAD,1.4656
2024-01-19,EUR,CHF,0.9459
2024-01-19,EUR,CNY,7.8291
2024-01-19,EUR,CZK,24.813
2024-01-19,EUR,DKK,7.4575
2024-01-19,EUR,GBP,0.85825
2024-01-19,EUR,HKD,8.5128
